,When,Date,WorkDays,,Date,Alberta Weekly,British Columbia Weekly,Canada Weekly,Manitoba Weekly,New Brunswick Weekly,Newfoundland And Labrador Weekly,Nova Scotia Weekly,Ontario Weekly,Prince Edward Island Weekly,Quebec Weekly,Saskatchewan Weekly,Alberta monthly,British Columbia monthly,Canada monthly,Manitoba monthly,New Brunswick monthly,Newfoundland And Labrador monthly,Nova Scotia monthly,Ontario monthly,Prince Edward Island monthly,Quebec monthly,Saskatchewan monthly
0,2001-01-01T00:00:00,1/1/2001,23,,1/1/2001,$670.54 ,$660.48 ,$658.02 ,$578.95 ,$584.75 ,$594.00 ,$571.28 ,$698.57 ,$535.65 ,$624.81 ,$596.53 ,"$3,084.48 ","$3,038.21 ","$3,026.89 ","$2,663.17 ","$2,689.85 ","$2,732.40 ","$2,627.89 ","$3,213.42 ","$2,463.99 ","$2,874.13 ","$2,744.04 "
1,2001-02-01T00:00:00,2/1/2001,20,,2/1/2001,$670.52 ,$659.33 ,$655.79 ,$580.63 ,$585.11 ,$591.92 ,$570.06 ,$693.69 ,$532.02 ,$623.93 ,$595.09 ,"$2,682.08 ","$2,637.32 ","$2,623.16 ","$2,322.52 ","$2,340.44 ","$2,367.68 ","$2,280.24 ","$2,774.76 ","$2,128.08 ","$2,495.72 ","$2,380.36 "
2,2001-03-01T00:00:00,3/1/2001,22,,3/1/2001,$668.49 ,$654.07 ,$655.88 ,$578.67 ,$584.13 ,$593.47 ,$570.70 ,$697.08 ,$534.71 ,$622.94 ,$589.09 ,"$2,941.36 ","$2,877.91 ","$2,885.87 ","$2,546.15 ","$2,570.17 ","$2,611.27 ","$2,511.08 ","$3,067.15 ","$2,352.72 ","$2,740.94 ","$2,592.00 "
3,2001-04-01T00:00:00,4/1/2001,21,,4/1/2001,$671.71 ,$657.15 ,$654.09 ,$576.36 ,$580.92 ,$591.96 ,$568.70 ,$693.73 ,$522.50 ,$619.12 ,$589.37 ,"$2,821.18 ","$2,760.03 ","$2,747.18 ","$2,420.71 ","$2,439.86 ","$2,486.23 ","$2,388.54 ","$2,913.67 ","$2,194.50 ","$2,600.30 ","$2,475.35 "
4,2001-05-01T00:00:00,5/1/2001,23,,5/1/2001,$664.45 ,$653.23 ,$650.02 ,$571.84 ,$578.44 ,$588.19 ,$567.96 ,$688.27 ,$522.31 ,$618.90 ,$587.41 ,"$3,056.47 ","$3,004.86 ","$2,990.09 ","$2,630.46 ","$2,660.82 ","$2,705.67 ","$2,612.62 ","$3,166.04 ","$2,402.63 ","$2,846.94 ","$2,702.09 "
5,2001-06-01T00:00:00,6/1/2001,21,,6/1/2001,$675.72 ,$661.49 ,$658.06 ,$588.66 ,$582.79 ,$591.85 ,$576.42 ,$697.37 ,$529.47 ,$623.50 ,$597.65 ,"$2,838.02 ","$2,778.26 ","$2,763.85 ","$2,472.37 ","$2,447.72 ","$2,485.77 ","$2,420.96 ","$2,928.95 ","$2,223.77 ","$2,618.70 ","$2,510.13 "
6,2001-07-01T00:00:00,7/1/2001,22,,7/1/2001,$672.96 ,$655.63 ,$655.38 ,$586.31 ,$580.57 ,$590.91 ,$576.16 ,$696.65 ,$509.55 ,$619.98 ,$590.31 ,"$2,961.02 ","$2,884.77 ","$2,883.67 ","$2,579.76 ","$2,554.51 ","$2,600.00 ","$2,535.10 ","$3,065.26 ","$2,242.02 ","$2,727.91 ","$2,597.36 "
7,2001-08-01T00:00:00,8/1/2001,23,,8/1/2001,$673.60 ,$653.55 ,$655.54 ,$592.32 ,$602.85 ,$593.53 ,$579.54 ,$691.09 ,$534.47 ,$625.05 ,$598.63 ,"$3,098.56 ","$3,006.33 ","$3,015.48 ","$2,724.67 ","$2,773.11 ","$2,730.24 ","$2,665.88 ","$3,179.01 ","$2,458.56 ","$2,875.23 ","$2,753.70 "
8,2001-09-01T00:00:00,9/1/2001,20,,9/1/2001,$692.18 ,$659.15 ,$660.50 ,$587.73 ,$594.41 ,$600.95 ,$576.75 ,$699.48 ,$531.89 ,$622.17 ,$600.95 ,"$2,768.72 ","$2,636.60 ","$2,642.00 ","$2,350.92 ","$2,377.64 ","$2,403.80 ","$2,307.00 ","$2,797.92 ","$2,127.56 ","$2,488.68 ","$2,403.80 "
9,2001-10-01T00:00:00,10/1/2001,23,,10/1/2001,$693.13 ,$664.43 ,$661.11 ,$587.39 ,$595.74 ,$596.49 ,$582.77 ,$697.06 ,$535.24 ,$623.80 ,$603.69 ,"$3,188.40 ","$3,056.38 ","$3,041.11 ","$2,701.99 ","$2,740.40 ","$2,743.85 ","$2,680.74 ","$3,206.48 ","$2,462.10 ","$2,869.48 ","$2,776.97 "
10,2001-11-01T00:00:00,11/1/2001,22,,11/1/2001,$675.80 ,$655.07 ,$659.65 ,$586.56 ,$598.11 ,$585.27 ,$583.15 ,$701.04 ,$535.62 ,$625.83 ,$590.90 ,"$2,973.52 ","$2,882.31 ","$2,902.46 ","$2,580.86 ","$2,631.68 ","$2,575.19 ","$2,565.86 ","$3,084.58 ","$2,356.73 ","$2,753.65 ","$2,599.96 "
